Designator,Mid X,Mid Y,Rotation,Layer
BT1,239.0,-45.0,310.0,top
C1,258.097349,-73.5,0.0,top
M1,64.998289,-219.501708,135.0,top
Q1,254.23,-55.5,0.0,top
Q2,228.0,-29.86,0.0,top
R1,213.689999,-29.999999,0.0,top
R2,259.180179,-64.0139,195.0,top
R3,216.5,-22.5,0.0,top
R4,254.999998,-29.5,135.0,top
R5,249.305923,-35.305922,135.0,top
RV1,212.957574,-70.542427,225.0,top
SW1,222.028988,-61.409802,315.0,top
